workerid,correct,condition,gameId,selected,orig_trialNum,orig_repNum,matcher_trialNum,matcher_repNum,target,original_pct_correct,message_history,selection_history,correctness_history,target_history,message
5029,TRUE,limited_feedback_random,MDLyuv29jevaGLSeT,D,33,2,10,0,D,1,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}],[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}]]","[""D"",""D""]","[true,true]","[""D"",""D""]","[{""role"":""describer"",""text"":""standing up straight facing left"",""message_number"":1}]"
5029,FALSE,limited_feedback_random,Z2WAkYpWiXwuGcdME,K,42,3,11,0,C,1,[],[],[],[],"[{""role"":""describer"",""text"":""arm hair standing"",""message_number"":1}]"
5029,FALSE,limited_feedback_random,LzNv7CD7gRuxpk7cQ,H,59,4,12,1,E,1,"[[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}]]","[""G""]",[true],"[""G""]","[{""role"":""describer"",""text"":""indian"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,MEJ8y7jRW4947MPrH,C,10,0,13,1,C,1,"[[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}]]","[""L""]",[true],"[""L""]","[{""role"":""describer"",""text"":""celebratory person - arms extended, diamond head"",""message_number"":1},{""role"":""matcher"",""text"":""no legs"",""message_number"":2},{""role"":""matcher"",""text"":""leaning left"",""message_number"":3},{""role"":""matcher"",""text"":""leaning to left"",""message_number"":4},{""role"":""matcher"",""text"":""body laying left"",""message_number"":5},{""role"":""describer"",""text"":""no legs"",""message_number"":6},{""role"":""matcher"",""text"":""no legs"",""message_number"":7},{""role"":""describer"",""text"":""leaning left"",""message_number"":8}]"
5029,TRUE,limited_feedback_random,Z2WAkYpWiXwuGcdME,I,57,4,14,1,I,1,"[[{""role"":""describer"",""text"":""arm hair standing"",""message_number"":1}]]","[""K""]",[false],"[""C""]","[{""role"":""describer"",""text"":""karate"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,LzNv7CD7gRuxpk7cQ,H,35,2,15,1,H,1,"[[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}],[{""role"":""describer"",""text"":""indian"",""message_number"":1}]]","[""G"",""H""]","[true,false]","[""G"",""E""]","[{""role"":""describer"",""text"":""grave stone"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,22dyGMRgestp8u5Lc,C,61,5,16,1,C,1,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}]]","[""E"",""C""]","[true,false]","[""E"",""A""]","[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,zviCQXNM4xWoYTmoY,E,30,2,17,1,E,1,"[[{""role"":""describer"",""text"":""like a person walking lifting one foot up, leaning head back a bit, holding a cloth in front of them"",""message_number"":1},{""role"":""matcher"",""text"":""square on their back"",""message_number"":2},{""role"":""describer"",""text"":""lifting the foot up in front of them not behind"",""message_number"":3},{""role"":""matcher"",""text"":""foot lifting up to the left"",""message_number"":4}]]","[""A""]",[true],"[""A""]","[{""role"":""describer"",""text"":""bunny one with two triangles at the top"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,MEJ8y7jRW4947MPrH,B,53,4,18,1,B,1,"[[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}],[{""role"":""describer"",""text"":""celebratory person - arms extended, diamond head"",""message_number"":1},{""role"":""matcher"",""text"":""no legs"",""message_number"":2},{""role"":""matcher"",""text"":""leaning left"",""message_number"":3},{""role"":""matcher"",""text"":""leaning to left"",""message_number"":4},{""role"":""matcher"",""text"":""body laying left"",""message_number"":5},{""role"":""describer"",""text"":""no legs"",""message_number"":6},{""role"":""matcher"",""text"":""no legs"",""message_number"":7},{""role"":""describer"",""text"":""leaning left"",""message_number"":8}]]","[""L"",""C""]","[true,true]","[""L"",""C""]","[{""role"":""describer"",""text"":""two arms - one coming off body on right"",""message_number"":1},{""role"":""describer"",""text"":""two"",""message_number"":2},{""role"":""matcher"",""text"":""wings guy"",""message_number"":3},{""role"":""matcher"",""text"":""kneeling down"",""message_number"":4},{""role"":""matcher"",""text"":""wings"",""message_number"":5},{""role"":""matcher"",""text"":""foot left"",""message_number"":6},{""role"":""matcher"",""text"":""wing guy"",""message_number"":7},{""role"":""describer"",""text"":""wings guy"",""message_number"":8},{""role"":""matcher"",""text"":""not celebration guy"",""message_number"":9},{""role"":""matcher"",""text"":""angel wings"",""message_number"":10},{""role"":""describer"",""text"":""not celeb"",""message_number"":11}]"
5029,TRUE,limited_feedback_random,MDLyuv29jevaGLSeT,J,64,5,19,1,J,1,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}],[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}],[{""role"":""describer"",""text"":""standing up straight facing left"",""message_number"":1}]]","[""D"",""D"",""D""]","[true,true,true]","[""D"",""D"",""D""]","[{""role"":""describer"",""text"":""half a square facing right"",""message_number"":1}]"
5029,FALSE,limited_feedback_random,GWCD2NGoiA2n5Wh2i,B,38,3,20,1,L,1,[],[],[],[],"[{""role"":""matcher"",""text"":""Podium You guys don't need me anymore"",""message_number"":1},{""role"":""describer"",""text"":""kneeling man in a robe, facing right"",""message_number"":2},{""role"":""describer"",""text"":""keep it up repi, i think it helps as long as you go first!"",""message_number"":3}]"
5029,TRUE,limited_feedback_random,22dyGMRgestp8u5Lc,I,63,5,21,1,I,1,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}],[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}]]","[""E"",""C"",""C""]","[true,false,true]","[""E"",""A"",""C""]","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]"
5029,FALSE,limited_feedback_random,BTbGhXZvjdSFubTBg,I,49,4,22,1,G,1,[],[],[],[],"[{""role"":""describer"",""text"":""kung fu yoga guy again"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,MDLyuv29jevaGLSeT,F,47,3,23,1,F,1,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}],[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}],[{""role"":""describer"",""text"":""standing up straight facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""half a square facing right"",""message_number"":1}]]","[""D"",""D"",""D"",""J""]","[true,true,true,true]","[""D"",""D"",""D"",""J""]","[{""role"":""describer"",""text"":""Person is sat facing left with their legs out in front of them"",""message_number"":1},{""role"":""describer"",""text"":""Looks depressed"",""message_number"":2}]"
5029,TRUE,limited_feedback_random,BTbGhXZvjdSFubTBg,H,9,0,24,2,H,0.8,"[[{""role"":""describer"",""text"":""kung fu yoga guy again"",""message_number"":1}]]","[""I""]",[false],"[""G""]","[{""role"":""describer"",""text"":""sitting down no legs showing"",""message_number"":1},{""role"":""matcher"",""text"":""no arms"",""message_number"":2},{""role"":""matcher"",""text"":""Bunny ears"",""message_number"":3},{""role"":""describer"",""text"":""legs showing to one side no arms"",""message_number"":4},{""role"":""matcher"",""text"":""kinda like kneeling"",""message_number"":5},{""role"":""describer"",""text"":""no feet"",""message_number"":6},{""role"":""describer"",""text"":""yes kneeling"",""message_number"":7}]"
5029,TRUE,limited_feedback_random,MDLyuv29jevaGLSeT,A,16,1,25,2,A,1,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}],[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}],[{""role"":""describer"",""text"":""standing up straight facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""half a square facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""Person is sat facing left with their legs out in front of them"",""message_number"":1},{""role"":""describer"",""text"":""Looks depressed"",""message_number"":2}]]","[""D"",""D"",""D"",""J"",""F""]","[true,true,true,true,true]","[""D"",""D"",""D"",""J"",""F""]","[{""role"":""describer"",""text"":""body facing left with one foot in the air, head is hanging backwards also looks like a penguin"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,22dyGMRgestp8u5Lc,B,21,1,26,2,B,1,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}],[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""C"",""C"",""I""]","[true,false,true,true]","[""E"",""A"",""C"",""I""]","[{""role"":""describer"",""text"":""baby looking up with arms out, bow on back of head"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,zviCQXNM4xWoYTmoY,A,54,4,27,2,A,1,"[[{""role"":""describer"",""text"":""like a person walking lifting one foot up, leaning head back a bit, holding a cloth in front of them"",""message_number"":1},{""role"":""matcher"",""text"":""square on their back"",""message_number"":2},{""role"":""describer"",""text"":""lifting the foot up in front of them not behind"",""message_number"":3},{""role"":""matcher"",""text"":""foot lifting up to the left"",""message_number"":4}],[{""role"":""describer"",""text"":""bunny one with two triangles at the top"",""message_number"":1}]]","[""A"",""E""]","[true,true]","[""A"",""E""]","[{""role"":""describer"",""text"":""lifting foot up holding cloth"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,BTbGhXZvjdSFubTBg,D,6,0,28,2,D,1,"[[{""role"":""describer"",""text"":""kung fu yoga guy again"",""message_number"":1}],[{""role"":""describer"",""text"":""sitting down no legs showing"",""message_number"":1},{""role"":""matcher"",""text"":""no arms"",""message_number"":2},{""role"":""matcher"",""text"":""Bunny ears"",""message_number"":3},{""role"":""describer"",""text"":""legs showing to one side no arms"",""message_number"":4},{""role"":""matcher"",""text"":""kinda like kneeling"",""message_number"":5},{""role"":""describer"",""text"":""no feet"",""message_number"":6},{""role"":""describer"",""text"":""yes kneeling"",""message_number"":7}]]","[""I"",""H""]","[false,true]","[""G"",""H""]","[{""role"":""describer"",""text"":""a person standing holding out their hands,"",""message_number"":1},{""role"":""matcher"",""text"":""Both feet on the ground"",""message_number"":2},{""role"":""matcher"",""text"":""Inverted top hat in hands"",""message_number"":3},{""role"":""matcher"",""text"":""Are they side on"",""message_number"":4},{""role"":""matcher"",""text"":""Wait, holding OUT their hands, or holding UP their hands"",""message_number"":5},{""role"":""describer"",""text"":""yes inverted top hat"",""message_number"":6},{""role"":""matcher"",""text"":""lol top hat"",""message_number"":7}]"
5029,TRUE,limited_feedback_random,x8BXJBHh3RxchPoHv,B,61,5,29,2,B,0.75,"[[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}],[{""role"":""describer"",""text"":""It is the bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""two triangles for ears"",""message_number"":2}]]","[""B"",""E""]","[true,true]","[""B"",""E""]","[{""role"":""describer"",""text"":""kneeling both arms out"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,BTbGhXZvjdSFubTBg,L,21,1,30,2,L,1,"[[{""role"":""describer"",""text"":""kung fu yoga guy again"",""message_number"":1}],[{""role"":""describer"",""text"":""sitting down no legs showing"",""message_number"":1},{""role"":""matcher"",""text"":""no arms"",""message_number"":2},{""role"":""matcher"",""text"":""Bunny ears"",""message_number"":3},{""role"":""describer"",""text"":""legs showing to one side no arms"",""message_number"":4},{""role"":""matcher"",""text"":""kinda like kneeling"",""message_number"":5},{""role"":""describer"",""text"":""no feet"",""message_number"":6},{""role"":""describer"",""text"":""yes kneeling"",""message_number"":7}],[{""role"":""describer"",""text"":""a person standing holding out their hands,"",""message_number"":1},{""role"":""matcher"",""text"":""Both feet on the ground"",""message_number"":2},{""role"":""matcher"",""text"":""Inverted top hat in hands"",""message_number"":3},{""role"":""matcher"",""text"":""Are they side on"",""message_number"":4},{""role"":""matcher"",""text"":""Wait, holding OUT their hands, or holding UP their hands"",""message_number"":5},{""role"":""describer"",""text"":""yes inverted top hat"",""message_number"":6},{""role"":""matcher"",""text"":""lol top hat"",""message_number"":7}]]","[""I"",""H"",""D""]","[false,true,true]","[""G"",""H"",""D""]","[{""role"":""describer"",""text"":""bent knees but not kneeling arms out"",""message_number"":1},{""role"":""describer"",""text"":""both feet on floor"",""message_number"":2},{""role"":""matcher"",""text"":""Does he kind of have the shape of the letter S"",""message_number"":3},{""role"":""matcher"",""text"":""lightning bolt"",""message_number"":4}]"
5029,TRUE,limited_feedback_random,22dyGMRgestp8u5Lc,J,51,4,31,2,J,1,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}],[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}],[{""role"":""describer"",""text"":""baby looking up with arms out, bow on back of head"",""message_number"":1}]]","[""E"",""C"",""C"",""I"",""B""]","[true,false,true,true,true]","[""E"",""A"",""C"",""I"",""B""]","[{""role"":""describer"",""text"":""half pot or bowl with triangle on top"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,LzNv7CD7gRuxpk7cQ,I,10,0,32,2,I,1,"[[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}],[{""role"":""describer"",""text"":""indian"",""message_number"":1}],[{""role"":""describer"",""text"":""grave stone"",""message_number"":1}]]","[""G"",""H"",""H""]","[true,false,true]","[""G"",""E"",""H""]","[{""role"":""describer"",""text"":""like someone ice skating with one leg up"",""message_number"":1},{""role"":""describer"",""text"":""facing left"",""message_number"":2},{""role"":""describer"",""text"":""both arms pointing left"",""message_number"":3}]"
5029,TRUE,limited_feedback_random,x8BXJBHh3RxchPoHv,C,24,2,33,2,C,1,"[[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}],[{""role"":""describer"",""text"":""It is the bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""two triangles for ears"",""message_number"":2}],[{""role"":""describer"",""text"":""kneeling both arms out"",""message_number"":1}]]","[""B"",""E"",""B""]","[true,true,true]","[""B"",""E"",""B""]","[{""role"":""describer"",""text"":""ghost leaning left"",""message_number"":1}]"
5029,TRUE,limited_feedback_random,MEJ8y7jRW4947MPrH,G,18,1,34,2,G,1,"[[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}],[{""role"":""describer"",""text"":""celebratory person - arms extended, diamond head"",""message_number"":1},{""role"":""matcher"",""text"":""no legs"",""message_number"":2},{""role"":""matcher"",""text"":""leaning left"",""message_number"":3},{""role"":""matcher"",""text"":""leaning to left"",""message_number"":4},{""role"":""matcher"",""text"":""body laying left"",""message_number"":5},{""role"":""describer"",""text"":""no legs"",""message_number"":6},{""role"":""matcher"",""text"":""no legs"",""message_number"":7},{""role"":""describer"",""text"":""leaning left"",""message_number"":8}],[{""role"":""describer"",""text"":""two arms - one coming off body on right"",""message_number"":1},{""role"":""describer"",""text"":""two"",""message_number"":2},{""role"":""matcher"",""text"":""wings guy"",""message_number"":3},{""role"":""matcher"",""text"":""kneeling down"",""message_number"":4},{""role"":""matcher"",""text"":""wings"",""message_number"":5},{""role"":""matcher"",""text"":""foot left"",""message_number"":6},{""role"":""matcher"",""text"":""wing guy"",""message_number"":7},{""role"":""describer"",""text"":""wings guy"",""message_number"":8},{""role"":""matcher"",""text"":""not celebration guy"",""message_number"":9},{""role"":""matcher"",""text"":""angel wings"",""message_number"":10},{""role"":""describer"",""text"":""not celeb"",""message_number"":11}]]","[""L"",""C"",""B""]","[true,true,true]","[""L"",""C"",""B""]","[{""role"":""describer"",""text"":""I think this one looks like a dancer"",""message_number"":1},{""role"":""matcher"",""text"":""2 arms to left"",""message_number"":2},{""role"":""describer"",""text"":""two triangles for arms but one arm is near the head and the other is almost touching the ground"",""message_number"":3},{""role"":""describer"",""text"":""body trailing really far back to the left"",""message_number"":4},{""role"":""matcher"",""text"":""arms out front on one leg one leg behind"",""message_number"":5},{""role"":""describer"",""text"":""looks like a backwards L"",""message_number"":6},{""role"":""describer"",""text"":""diamond head hanging to the left"",""message_number"":7},{""role"":""describer"",""text"":""i guess the bottom triangle is a leg actually"",""message_number"":8},{""role"":""matcher"",""text"":""i thought it was sleepwalking"",""message_number"":9},{""role"":""matcher"",""text"":""kinda looks like their legs are being dragged along the ground"",""message_number"":10},{""role"":""matcher"",""text"":""dragging legs on ground behind him on the left"",""message_number"":11},{""role"":""describer"",""text"":""yeah legs dragged kinda"",""message_number"":12}]"
5029,TRUE,limited_feedback_random,x8BXJBHh3RxchPoHv,E,4,0,35,2,E,1,"[[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}],[{""role"":""describer"",""text"":""It is the bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""two triangles for ears"",""message_number"":2}],[{""role"":""describer"",""text"":""kneeling both arms out"",""message_number"":1}],[{""role"":""describer"",""text"":""ghost leaning left"",""message_number"":1}]]","[""B"",""E"",""B"",""C""]","[true,true,true,true]","[""B"",""E"",""B"",""C""]","[{""role"":""describer"",""text"":""like a sitting bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""describer"",""text"":""two triangles on the head like ears"",""message_number"":3}]"
5029,TRUE,limited_feedback_random,GWCD2NGoiA2n5Wh2i,K,34,2,36,3,K,0.8,"[[{""role"":""matcher"",""text"":""Podium You guys don't need me anymore"",""message_number"":1},{""role"":""describer"",""text"":""kneeling man in a robe, facing right"",""message_number"":2},{""role"":""describer"",""text"":""keep it up repi, i think it helps as long as you go first!"",""message_number"":3}]]","[""B""]",[false],"[""L""]","[{""role"":""matcher"",""text"":""bummed man"",""message_number"":1},{""role"":""matcher"",""text"":""ha 'bummed man with triangle butt'"",""message_number"":2},{""role"":""describer"",""text"":""double diamond here"",""message_number"":3},{""role"":""describer"",""text"":""i endorse the triangle butt descriptor"",""message_number"":4},{""role"":""describer"",""text"":""u would be sad too with a triangle butt :("",""message_number"":5},{""role"":""matcher"",""text"":""I still think this one is johnny 5 but double diamond works"",""message_number"":6}]"
5029,TRUE,limited_feedback_random,rSMFkjhskBteiyQMB,J,21,1,37,3,J,1,"[[{""role"":""describer"",""text"":""depressed man bent knee"",""message_number"":1}]]","[""F""]",[true],"[""F""]","[{""role"":""describer"",""text"":""rotated square touching a straight line"",""message_number"":1},{""role"":""describer"",""text"":""feet out pointing to the right"",""message_number"":2},{""role"":""describer"",""text"":""the left side of this object is straight all the way"",""message_number"":3},{""role"":""describer"",""text"":""except for the"",""message_number"":4},{""role"":""describer"",""text"":""head"",""message_number"":5},{""role"":""matcher"",""text"":""horizontal straight line"",""message_number"":6}]"
5029,TRUE,limited_feedback_random,LzNv7CD7gRuxpk7cQ,G,1,0,38,3,G,1,"[[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}],[{""role"":""describer"",""text"":""indian"",""message_number"":1}],[{""role"":""describer"",""text"":""grave stone"",""message_number"":1}],[{""role"":""describer"",""text"":""like someone ice skating with one leg up"",""message_number"":1},{""role"":""describer"",""text"":""facing left"",""message_number"":2},{""role"":""describer"",""text"":""both arms pointing left"",""message_number"":3}]]","[""G"",""H"",""H"",""I""]","[true,false,true,true]","[""G"",""E"",""H"",""I""]","[{""role"":""describer"",""text"":""the head is to the left"",""message_number"":1},{""role"":""describer"",""text"":""quite wide"",""message_number"":2},{""role"":""describer"",""text"":""a small triangle sticking out on the bottom right"",""message_number"":3},{""role"":""describer"",""text"":""like a person doing a lunge"",""message_number"":4},{""role"":""matcher"",""text"":""does it have its arms to the right"",""message_number"":5},{""role"":""matcher"",""text"":""Does it look like a person doing the tango"",""message_number"":6}]"
5029,TRUE,limited_feedback_random,22dyGMRgestp8u5Lc,F,66,5,39,3,F,1,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}],[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}],[{""role"":""describer"",""text"":""baby looking up with arms out, bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""half pot or bowl with triangle on top"",""message_number"":1}]]","[""E"",""C"",""C"",""I"",""B"",""J""]","[true,false,true,true,true,true]","[""E"",""A"",""C"",""I"",""B"",""J""]","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]"
